Vehicle,Origin,Manufacturer,Payload mass to … (kg),Launches[a],Date of flight
Atlas V 511,United States,ULA,"7004109500000000000♠10,950[15]","7003537000000000000♠5,370","7003782000000000000♠7,820 to SSO 1,750 to GEO",5000000000000000000♠0,,
Atlas V 521,United States,ULA,"7004133000000000000♠13,300[15]","7003648500000000000♠6,485","7003958500000000000♠9,585 to SSO 2,760 to GEO",7000200000000000000♠2[15],2003,2004
Atlas V 531,United States,ULA,"7004153000000000000♠15,300[15]","7003742500000000000♠7,425","7004111600000000000♠11,160 to SSO 3,250 to GEO",7000300000000000000♠3[15],2010,2013
Atlas V 541,United States,ULA,"7004171000000000000♠17,100[15]","7003824000000000000♠8,240","7004124350000000000♠12,435 to SSO 3,730 to GEO",7000600000000000000♠6[15],2011,2018
Atlas V 551,United States,ULA,"7004185000000000000♠18,500[15]","7003870000000000000♠8,700","7004135500000000000♠13,550 to SSO 3,960 to GEO",7000900000000000000♠9[15],2006,2018
Atlas V 552,United States,ULA,"7004205200000000000♠20,520[16]",,,5000000000000000000♠0,2020[17],
Atlas V N22[18] (for Starliner),United States,ULA,"7004130000000000000♠13,000[19]",,,5000000000000000000♠0,2019[20],
Beta,United States,Firefly Aerospace,"7003400000000000000♠4,000[21]",TBA,"7003300000000000000♠3,000 to SSO",5000000000000000000♠0,TBA[2],
BFR (fully reusable),United States,SpaceX,"7005100000000000000♠100,000+[22]",,"7005100000000000000♠100,000 to TMI[23][f]",5000000000000000000♠0,2022[24][g],
Bloostar,Spain,Zero 2 Infinity,7002140000000000000♠140[26],,7001750000000000000♠75 to SSO[26],5000000000000000000♠0,2019[27],
Chetak,India,Bellatrix Aerospace[28][29],,,7002150000000000000♠150 to SSO[h][30],5000000000000000000♠0,2023[31],
Cyclone-4M,Ukraine,Yuzhnoye Yuzhmash,"7003500000000000000♠5,000[32]","7003100000000000000♠1,000[33]","7003335000000000000♠3,350 to SSO[32]",5000000000000000000♠0,2020[32],
"Delta IV M+(4,2)",United States,ULA,"7004131400000000000♠13,140[34]","7003639000000000000♠6,390","7004102500000000000♠10,250 to polar",7001140000000000000♠14[35],2002,2016[i]
"Delta IV M+(5,4)",United States,ULA,"7004141400000000000♠14,140[34]","7003730000000000000♠7,300","7004116000000000000♠11,600 to polar",7000700000000000000♠7[35],2009,2017[i]
Delta IV Heavy,United States,ULA,"7004287900000000000♠28,790[34]","7004142200000000000♠14,220","7004235600000000000♠23,560 to polar 7004100000000000000♠10,000 to TLI 7003800000000000000♠8,000 to TMI",7001100000000000000♠10[35],2004,2018
Electron,United States New Zealand,Rocket Lab,7002225000000000000♠225[36],,7002150000000000000♠150 to SSO,7000400000000000000♠4[37],2017,2018
Epsilon,Japan,IHI[38],"7003150000000000000♠1,500[39]",,7002590000000000000♠590 to SSO,7000300000000000000♠3[40],2013,2018
Eris,Australia Singapore,Gilmour Space Technologies,7002400000000000000♠400[41],,,5000000000000000000♠0,2020[41],
Falcon 9 Full Thrust (partially reusable),United States,SpaceX,"7004136800000000000♠13,680–15,960[42][j]","7003550000000000000♠5,500[43][k]","7003960000000000000♠9,600 to polar[45]",7001370000000000000♠37[46][47][l],2015,2018
Falcon 9 Full Thrust (expended),United States,SpaceX,"7004228000000000000♠22,800[43][j]","7003650000000000000♠6,500[44]–8,300[43]","7003402000000000000♠4,020 to TMI",7000900000000000000♠9[50][51],2017,2018
Falcon Heavy (partially reusable),United States,SpaceX,"7004300000000000000♠30,000[52]–57,000[53]","7003800000000000000♠8,000[43]–10,000[m]",,7000100000000000000♠1[54],2018,2018
Falcon Heavy (expended),United States,SpaceX,"7004638000000000000♠63,800[43]","7004150000000000000♠15,000+[44]","7004168000000000000♠16,800 to TMI",5000000000000000000♠0,,
GSLV Mk II,India,ISRO,"7003500000000000000♠5,000[55]","7003270000000000000♠2,700[56][n]",,7000700000000000000♠7[57],2010,2018
GSLV Mk III,India,ISRO,"7003800000000000000♠8,000[58]","7003400000000000000♠4,000",,7000200000000000000♠2[59],2017[o],2018
H-IIA 202,Japan,Mitsubishi,"7003800000000000000♠8,000[61]:67","7003400000000000000♠4,000[61]:48","7003510000000000000♠5,100 to SSO[p] [61]:64–65",7001260000000000000♠26[62],2001,2018
H-IIA 204,Japan,Mitsubishi,,"7003595000000000000♠5,950[61]:48",,7000400000000000000♠4[62],2006,2017
H-IIB,Japan,Mitsubishi,"7004165000000000000♠16,500 (ISS)[63]","7003800000000000000♠8,000",,7000700000000000000♠7[64],2009,2018
H3,Japan,Mitsubishi,,"7003650000000000000♠6,500[63]","7003400000000000000♠4,000 to SSO[65]",5000000000000000000♠0,2020[65][66],
Hyperbola-1,China,i-Space,7002300000000000000♠300[67],,,5000000000000000000♠0,2019[67][q],
Hyperbola-3,China,i-Space,"7003200000000000000♠2,000[67]",,,5000000000000000000♠0,2021[67],
Kuaizhou 1/1A,China,ExPace,7002400000000000000♠400[68],,,7000400000000000000♠4[68],2013,2018
Kuaizhou 11,China,ExPace,"7003150000000000000♠1,500[69]",,"7003100000000000000♠1,000 to SSO[70]",5000000000000000000♠0,2019[71],
Kuaizhou 21,China,ExPace,"7004200000000000000♠20,000[72]",,,5000000000000000000♠0,2025[70],
KSLV-2,South Korea,KARI,"7003150000000000000♠1,500 at 600–800 km[73]",,,5000000000000000000♠0,2021[73][r],
LauncherOne,United States,Virgin Orbit,7002500000000000000♠500[74],,7002300000000000000♠300 to SSO[75],5000000000000000000♠0,2019[76],
Long March 2C,China,CALT,"7003385000000000000♠3,850 [citation needed]","7003125000000000000♠1,250 with CTS2","7003200000000000000♠2,000 to SSO with YZ-1S[77]",7001560000000000000♠56[78],1982,2018
Long March 2D,China,SAST,"7003400000000000000♠4,000",,"7003115000000000000♠1,150 to SSO",7001430000000000000♠43[78],1992,2018
Long March 2F,China,CALT,"7003860000000000000♠8,600",,,7001130000000000000♠13[78],1999,2016
Long March 3A,China,CALT,"7003600000000000000♠6,000[79]","7003260000000000000♠2,600","7003500000000000000♠5,000 to SSO",7001270000000000000♠27[80],1994,2018
Long March 3B/E,China,CALT,"7004115000000000000♠11,500[79]","7003550000000000000♠5,500","7003690000000000000♠6,900 to SSO",7001410000000000000♠41[80],2007,2018
Long March 3C,China,CALT,"7003910000000000000♠9,100[79]","7003380000000000000♠3,800","7003650000000000000♠6,500 to SSO",7001160000000000000♠16[80],2008,2018
Long March 4B,China,SAST,"7003420000000000000♠4,200[81]","7003150000000000000♠1,500","7003280000000000000♠2,800 to SSO",7001310000000000000♠31[81],1999,2018
Long March 4C,China,SAST,"7003420000000000000♠4,200[82]","7003150000000000000♠1,500","7003280000000000000♠2,800 to SSO",7001250000000000000♠25[82],2006,2018
Long March 5,China,CALT,"7004250000000000000♠25,000[83]","7004140000000000000♠14,000","7004150000000000000♠15,000 to SSO[84] 7003820000000000000♠8,200 to TLI[85] 7003500000000000000♠5,000 to TMI[85]",7000200000000000000♠2[86],2016,2017
Long March 6,China,SAST,,,"7003108000000000000♠1,080 to SSO[87]",7000200000000000000♠2[88],2015,2017
Long March 7,China,CALT,"7004135000000000000♠13,500[89]",,"7003550000000000000♠5,500 to SSO",7000200000000000000♠2,2016[90],2017
Long March 8 (partially reusable)[91],China,CALT,"7003760000000000000♠7,600[92]","7003250000000000000♠2,500","7003450000000000000♠4,500 to SSO",5000000000000000000♠0,2021[91],
Long March 9[93],China,CALT,"7005140000000000000♠140,000[94]","7004660000000000000♠66,000[95]","7004500000000000000♠50,000 to TLI[94] 7004440000000000000♠44,000 to TMI[91]",5000000000000000000♠0,2028[96]–2030[91],
Long March 11,China,CALT,7002700000000000000♠700[97],,7002350000000000000♠350 to SSO,7000500000000000000♠5[98],2015,2018
Minotaur I,United States,NG Innovation,7002580000000000000♠580[99],,,7001100000000000000♠10[100],2000,2013
Minotaur IV,United States,NG Innovation,"7003173500000000000♠1,735[101]",,,7000400000000000000♠4[102],2010,2017
Minotaur V,United States,NG Innovation,,7002670000000000000♠670[102],7002465000000000000♠465 to HCO,7000100000000000000♠1[102],2013,2013
Minotaur-C (Taurus)[103],United States,NG Innovation,"7003145800000000000♠1,458[104]",,"7003105400000000000♠1,054 to SSO[s]",7001100000000000000♠10[105],1994,2017
Miura 5,Spain,PLD Space,7002300000000000000♠300[106],,,0,2021[106],
New Glenn,United States,Blue Origin,"7004450000000000000♠45,000[107]","7004130000000000000♠13,000",,5000000000000000000♠0,2021[108],
New Line 1 (partially reusable)[109],China,LinkSpace,,,7002200000000000000♠200 to SSO[109],5000000000000000000♠0,2020[109],
OmegA,United States,NG Innovation,,"7004101000000000000♠10,100[110]","7003780000000000000♠7,800 to GEO[110]",5000000000000000000♠0,2021[110],
OS-M1,China,OneSpace,7002205000000000000♠205[111],,7002143000000000000♠143 to SSO,5000000000000000000♠0,2019[112][t],
Pegasus,United States,NG Innovation,7002500000000000000♠500[114],,,7001430000000000000♠43[114][115],1990,2016
Prime,United Kingdom,Orbex,7002220000000000000♠220[116],,7002150000000000000♠150 to SSO[d][117],5000000000000000000♠0,2021[117],
Proton-M / M+,Russia Soviet Union,Khrunichev,"7004230000000000000♠23,000 (M+)[118] 7004216000000000000♠21,600 (M)[119]","7003692000000000000♠6,920 (M+) 7003615000000000000♠6,150 (M)",,7002104000000000000♠104[120][121][122],2001,2018
PSLV-CA,India,ISRO,"7003210000000000000♠2,100[123]",,"7003110000000000000♠1,100 to SSO",7001130000000000000♠13[123],2007,2018
PSLV-XL,India,ISRO,"7003380000000000000♠3,800[123]","7003130000000000000♠1,300","7003175000000000000♠1,750 to SSO 7003135000000000000♠1,350 to TMI[124]",7001200000000000000♠20[123],2008,2018
Rokot,Russia,Khrunichev,"7003195000000000000♠1,950[125]",,"7003120000000000000♠1,200 to SSO",7001320000000000000♠32[125],1990,2018[i][126]
Safir,Iran,Iranian Space Agency,7001650000000000000♠65[127],,,7000600000000000000♠6[127][u],2008,2015
Shavit,Israel,IAI,7002300000000000000♠300[128],,,7001100000000000000♠10[129],1988,2016
Simorgh,Iran,Iranian Space Agency,7002350000000000000♠350[130],,,7000100000000000000♠1[130],2017[v],2017
Space Launch System Block 1 with ICPS,United States,NASA / Boeing (core) NG Innovation (SRBs),"7004950000000000000♠95,000[131]",,"7004260000000000000♠26,000 to TLI[131]",5000000000000000000♠0,2020[132],
SLS Block 1B with EUS,United States,NASA / Boeing NG Innovation,"7005105000000000000♠105,000[133]",,"7004370000000000000♠37,000 to TLI[131]",5000000000000000000♠0,2024[134],
SLS Block 2 with EUS and advanced boosters,United States,NASA / Boeing NG Innovation,"7005130000000000000♠130,000[135]",,"7004450000000000000♠45,000 to HCO[131]",5000000000000000000♠0,2029[136],
Soyuz-FG,Russia,TsSKB-Progress,"7003690000000000000♠6,900[137]",,,7001670000000000000♠67[138][139],2001,2018[i]
Soyuz-2.1a,Russia,TsSKB-Progress,"7003702000000000000♠7,020 from Baikonur[140]",,,7001300000000000000♠30[141][139][142],2006[w],2018
Soyuz-2.1b,Russia,TsSKB-Progress,"7003820000000000000♠8,200 from Baikonur[140]","7003240000000000000♠2,400[143]",,7001280000000000000♠28[144][139],2006,2018
Soyuz ST-A,Russia Europe,TsSKB-Progress Arianespace,"7003780000000000000♠7,800 from Kourou[145]","7003281000000000000♠2,810 with Fregat[146]",,7000500000000000000♠5[139],2011,2018
Soyuz ST-B,Russia Europe,TsSKB-Progress Arianespace,"7003900000000000000♠9,000 from Kourou[147]","7003325000000000000♠3,250 with Fregat[146]","7003440000000000000♠4,400 to SSO[148]",7001140000000000000♠14[139],2011,2018
Soyuz-2-1v,Russia,TsSKB-Progress,"7003280000000000000♠2,800[149]",,"7003140000000000000♠1,400 to SSO",7000400000000000000♠4[149],2013,2018
Soyuz-5,Russia,TsSKB-Progress RSC Energia,"7004180000000000000♠18,000[150]",,"7003250000000000000♠2,500 to GEO",5000000000000000000♠0,2022[151][152],
Soyuz-5 super-heavy derivative,Russia,TsSKB-Progress RSC Energia,"7004880000000000000♠88,000–115,000[152]",,"7004200000000000000♠20,000 to TLI[153]",5000000000000000000♠0,2028[153],
SS-520,Japan,IHI Aerospace,7000400000000000000♠4[154],,,7000200000000000000♠2[155],2017[156][x],2018
SSLV,India,ISRO,7002500000000000000♠500[157],,7002300000000000000♠300 to SSO,5000000000000000000♠0,2019[158],
Unha,North Korea,KCST,7002100000000000000♠100[159],,,7000400000000000000♠4[160],2009[y],2016
Vector-R,United States,Vector Space Systems,7001640000000000000♠64[161],,,5000000000000000000♠0,2019[76][z],
Vector-H,United States,Vector Space Systems,7002160000000000000♠160[162],,,5000000000000000000♠0,2019[162],
Vega,Europe,ESA / ASI,"7003150000000000000♠1,500[h][163]",,"7003133000000000000♠1,330 to SSO[164]",7001130000000000000♠13[165],2012,2018
Vega C,Europe,ESA / ASI,"7003220000000000000♠2,200[h][166]",,,5000000000000000000♠0,2019[166],
Vega E,Europe,ESA / ASI,"7003300000000000000♠3,000[h][167]",,,5000000000000000000♠0,2024[168],
Vulcan / Centaur,United States,ULA,"7004250000000000000♠25,000[169]","7004150000000000000♠15,000[169]","7003730000000000000♠7,300 to GEO[169][170]",5000000000000000000♠0,2021[171],
Vulcan / ACES,United States,ULA,"7004374000000000000♠37,400[34][172][aa]","7004185000000000000♠18,500[aa]","7004130000000000000♠13,000 to TLI[aa]",5000000000000000000♠0,2023[173],
Zenit-3F,Ukraine,Yuzhnoye,,,"7003174000000000000♠1,740 to GEO[174]",7000400000000000000♠4[175],2011,2017
Zenit-3SL,Ukraine,Yuzhmash RSC Energia,"7003700000000000000♠7,000[175]","7003616000000000000♠6,160",,7001360000000000000♠36[175],1999,2014
Zenit-3SLB / 3M,Ukraine,Yuzhmash RSC Energia,,"7003375000000000000♠3,750[175]",,7000600000000000000♠6[175],2008,2013
Zero,Japan,Interstellar Technologies,,,7002100000000000000♠100 to SSO[d][176],5000000000000000000♠0,2020[176],
Zhuque-1,China,LandSpace,7002300000000000000♠300[177],,7002200000000000000♠200 to SSO,7000100000000000000♠1[178],2018[178],2018
Zhuque-2,China,LandSpace,"7003400000000000000♠4,000[179]",,"7003200000000000000♠2,000 to SSO",5000000000000000000♠0,2020[180],
